"","Family","Genus","sci_name","nutrient_data","ctmax_estimate","gl_fish","mean_temp","sd_temp"
"35","Chandidae","Ambassis","Ambassis agrammus",NA,"Y",NA,27.6817311463321,2.09347412510838
"36","Chandidae","Ambassis","Ambassis ambassis",NA,"Y",NA,26.4436559262073,2.95984718410673
"37","Chandidae","Ambassis","Ambassis ambassis",NA,"Y",NA,26.4436559262073,2.95984718410673
"38","Chandidae","Ambassis","Ambassis gymnocephalus",NA,"Y",NA,26.3003609889846,3.14876294436322
"39","Chandidae","Ambassis","Ambassis natalensis",NA,"Y",NA,26.2816687587341,3.0933759367671
"40","Centrarchidae","Ambloplites","Ambloplites rupestris","Y","Y","Y",10.8376594005459,6.95748255879177
"41","Clupeidae","Amblygaster","Amblygaster sirm","Y",NA,NA,27.9152793017988,2.12527961513071
"42","Cyprinidae","Amblypharyngodon","Amblypharyngodon mola","Y",NA,NA,26.1645683261483,3.88038417570625
"43","Ictaluridae","Ameiurus","Ameiurus catus",NA,"Y","Y",22.29776868787,4.10278026451004
"44","Ictaluridae","Ameiurus","Ameiurus melas",NA,"Y","Y",15.9679729220204,6.80907116626963
"45","Ictaluridae","Ameiurus","Ameiurus natalis",NA,"Y","Y",17.9558652680924,6.56610774666
"46","Ictaluridae","Ameiurus","Ameiurus nebulosus","Y","Y","Y",15.4399646371787,3.74930763326192
"47","Amiidae","Amia","Amia calva","Y","Y","Y",20.7776863814843,5.38619690278016
"48","Percidae","Ammocrypta","Ammocrypta clara",NA,NA,"Y",18.6337787417368,5.20468033073734
"49","Percidae","Ammocrypta","Ammocrypta pellucida",NA,NA,"Y",15.8787803707735,4.41962387382514
"50","Ammodytidae","Ammodytes","Ammodytes hexapterus","Y",NA,NA,6.22150367880445,4.68229634404188
"51","Ammodytidae","Ammodytes","Ammodytes tobianus","Y",NA,NA,14.5347498964239,2.38227441200123
"52","Terapontidae","Amniataba","Amniataba percoides",NA,"Y",NA,29.0831351241998,2.20122790590253
"53","Anabantidae","Anabas","Anabas testudineus","Y","Y",NA,25.8210562646373,5.90744659228938
"54","Anarhichadidae","Anarhichas","Anarhichas lupus","Y",NA,NA,9.66952039280125,4.02423186812834
"55","Engraulidae","Anchoa","Anchoa hepsetus","Y",NA,NA,26.2935648807006,3.20108959104415
"56","Anguillidae","Anguilla","Anguilla anguilla","Y",NA,NA,16.0232335774382,8.46278923973143
"57","Anguillidae","Anguilla","Anguilla australis",NA,"Y",NA,16.9430659425286,4.92592782609116
"58","Anguillidae","Anguilla","Anguilla bicolor","Y",NA,NA,25.5264695227255,4.33616062462672
"59","Anguillidae","Anguilla","Anguilla dieffenbachii",NA,"Y",NA,13.3795335925689,3.45263640108761
"60","Anguillidae","Anguilla","Anguilla japonica","Y",NA,NA,22.1472143776118,4.2075692160853
"61","Anguillidae","Anguilla","Anguilla rostrata","Y",NA,"Y",18.5141096527587,9.63286413414908
"62","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","Y",NA,NA,12.8306566951173,1.60289685076363
"63","Gasterosteidae","Apeltes","Apeltes quadracus",NA,"Y","Y",7.51289574017317,6.82155546518442
"64","Trichiuridae","Aphanopus","Aphanopus carbo","Y",NA,NA,17.5835297938347,6.10458550631693
"65","Aphredoderidae","Aphredoderus","Aphredoderus sayanus",NA,NA,"Y",21.4315571810994,4.66673333862787
"66","Sciaenidae","Aplodinotus","Aplodinotus grunniens","Y","Y","Y",12.0494634726469,9.4457916848681
"67",NA,"Arabibarbus","Arabibarbus grypus","Y",NA,NA,28.8729890736585,4.52903523495832
"68","Osteoglossidae","Arapaima","Arapaima gigas","Y",NA,NA,26.7687446583949,2.05567669097704
"69","Centrarchidae","Archoplites","Archoplites interruptus",NA,"Y",NA,17.1710858368761,4.56189693608072
"70","Sparidae","Archosargus","Archosargus probatocephalus","Y",NA,NA,26.5751420403358,2.81548489583113
"71","Sciaenidae","Argyrosomus","Argyrosomus hololepidotus","Y",NA,NA,25.5724874487343,1.87602784216231
"72","Sciaenidae","Argyrosomus","Argyrosomus regius","Y",NA,NA,22.385226439301,3.88816066441468
"73","Ariommatidae","Ariomma","Ariomma bondi","Y",NA,NA,25.6018570139241,3.14214120170807
"74","Ariidae","Arius","Arius madagascariensis","Y",NA,NA,27.2605395675805,1.53398609972809
"75","Ariidae","Arius","Arius subrostratus","Y",NA,NA,27.5977602105216,1.07795849761512
"76","Bothidae","Arnoglossus","Arnoglossus laterna","Y",NA,NA,19.2613531859489,6.47382493405352
"77","Tetraodontidae","Arothron","Arothron hispidus","Y",NA,NA,27.580821201038,2.31643087569238
"78","Tetraodontidae","Arothron","Arothron immaculatus","Y",NA,NA,27.9262152897933,2.25267258597839
"79","Arripidae","Arripis","Arripis trutta","Y",NA,NA,16.8106246464315,2.27486197367828
"80","Characidae","Astyanax","Astyanax bimaculatus",NA,"Y",NA,26.8626982007567,0.955270789992521
"81","Characidae","Astyanax","Astyanax lineatus",NA,"Y",NA,26.0414541841855,3.16279816486901
"82","Pleuronectidae","Atheresthes","Atheresthes stomias","Y",NA,NA,6.04715886534614,3.94732655121553
"83","Atherinidae","Atherina","Atherina boyeri","Y",NA,NA,20.7012489139929,4.12966388868408
"84","Sciaenidae","Atrobucca","Atrobucca nibe","Y",NA,NA,25.7088658888128,3.79986127742033
"85","Scombridae","Auxis","Auxis rochei","Y",NA,NA,24.9134456435335,5.00697595385333
"86","Scombridae","Auxis","Auxis thazard","Y",NA,NA,25.1800465103377,5.0669354373247
"87","Gobiidae","Awaous","Awaous commersoni",NA,"Y",NA,25.4903992096728,1.95618768673638
"88","Gobiidae","Awaous","Awaous grammepomus","Y",NA,NA,27.0746686949475,2.25415795426247
"89","Ariidae","Bagre","Bagre marinus","Y",NA,NA,27.5501775176201,1.76437349363192
"90","Bagridae","Bagrus","Bagrus docmak","Y",NA,NA,26.3367576260252,3.75560174877714
"91","Balistidae","Balistes","Balistes capriscus","Y",NA,NA,23.0163970780755,5.57323936606065
"92","Leuciscidae","Ballerus","Ballerus ballerus",NA,"Y",NA,11.0831404514468,5.8209371232687
"93","Balitoridae","Barbatula","Barbatula barbatula",NA,"Y",NA,12.0368622057454,5.85459015764595
"94","Cyprinidae","Barbonymus","Barbonymus altus","Y",NA,NA,27.4725760887543,2.03250914661961
"95","Cyprinidae","Barbonymus","Barbonymus balleroides","Y",NA,NA,26.4561429274611,1.59296248075349
"96","Cyprinidae","Barbonymus","Barbonymus gonionotus","Y",NA,NA,27.738624989752,1.32440157498994
"97","Cyprinidae","Barbus","Barbus barbus",NA,"Y",NA,14.1776572866182,3.96960719558879
"98","Congridae","Bassanago","Bassanago albescens","Y",NA,NA,16.9723633079155,4.25637521628992
"99","Bagridae","Batasio","Batasio tengana","Y",NA,NA,25.7580598175187,3.71726807122464
"100","Gobiidae","Bathygobius","Bathygobius fuscus",NA,"Y",NA,26.6985409086768,3.81239797808345
"101","Gobiidae","Bathygobius","Bathygobius soporator",NA,"Y",NA,26.62969377675,2.08005683142025
"102","Bathylagidae","Bathylagus","Bathylagus antarcticus","Y",NA,NA,0.470116646468848,2.26524560565009
"103","Arhynchobatidae","Bathyraja","Bathyraja brachyurops","Y",NA,NA,11.7230791481213,4.19422825242454
"104","Arhynchobatidae","Bathyraja","Bathyraja macloviana","Y",NA,NA,10.7065899391074,4.23683822303261
"105","Arhynchobatidae","Bathyraja","Bathyraja scaphiops","Y",NA,NA,10.6407383014674,3.21289727727925
"106",NA,"Bathytoshia","Bathytoshia centroura","Y",NA,NA,23.4941230874443,4.61718637863626
"107","Belonidae","Belone","Belone belone","Y",NA,NA,16.0028078702343,4.86522552353294
"108","Poeciliidae","Belonesox","Belonesox belizanus",NA,"Y",NA,26.0077669559046,3.0734738314803
"109","Myctophidae","Benthosema","Benthosema fibulatum","Y",NA,NA,26.9042712042697,2.65326601171163
"110","Myctophidae","Benthosema","Benthosema pterotum","Y",NA,NA,26.591486953489,4.1713068752942
"111",NA,"Beringraja","Beringraja binoculata","Y",NA,NA,8.36633657246825,5.55972741586249
"112","Berycidae","Beryx","Beryx mollis","Y",NA,NA,25.5235212558346,3.46085392512855
"113","Terapontidae","Bidyanus","Bidyanus bidyanus",NA,"Y",NA,23.1300932002253,3.40385425963263
"114","Sciaenidae","Boesemania","Boesemania microlepis","Y",NA,NA,27.7481500123373,1.61848435508611
"115","Sparidae","Boops","Boops boops","Y",NA,NA,20.2953140151382,5.85411339906582
"116","Gadidae","Boreogadus","Boreogadus saida","Y",NA,NA,2.57530113311605,3.49835929238975
"117","Bothidae","Bothus","Bothus pantherinus",NA,"Y",NA,27.9419106078597,2.09553249050164
"118","Bothidae","Bothus","Bothus podas","Y",NA,NA,23.8232965111129,2.86597425173743
"119","Cobitidae","Botia","Botia dario","Y",NA,NA,24.2956540374425,4.69373190659996
"120","Soleidae","Brachirus","Brachirus panoides","Y",NA,NA,27.4469354259962,1.41699446598919
"121","Pimelodidae","Brachyplatystoma","Brachyplatystoma filamentosum","Y",NA,NA,26.5108431495997,1.56441413316372
"122",NA,"Brama","Brama australis","Y",NA,NA,14.2680192691414,1.6213107647512
"123",NA,"Brama","Brama brama","Y",NA,NA,15.9749432777195,4.30354932845
"124",NA,"Brama","Brama japonica","Y",NA,NA,19.1972901976233,6.24691027241356
"125","Malacanthidae","Branchiostegus","Branchiostegus albus","Y",NA,NA,24.5550784001245,3.73180716920878
"126","Malacanthidae","Branchiostegus","Branchiostegus argentatus","Y",NA,NA,27.6353790506354,2.48392765019573
"127","Bregmacerotidae","Bregmaceros","Bregmaceros mcclellandi","Y",NA,NA,28.2393689629547,2.30762398020891
"128","Clupeidae","Brevoortia","Brevoortia aurea","Y",NA,NA,22.2192538352936,2.17803440168514
"129","Clupeidae","Brevoortia","Brevoortia tyrannus","Y",NA,NA,17.0274353964498,7.24388836679781
"130","Gadidae","Brosme","Brosme brosme","Y",NA,NA,11.5749309336774,4.18631315972552
"131","Characidae","Brycon","Brycon cephalus","Y",NA,NA,27.1327329960504,1.47109187693176
"132","Characidae","Brycon","Brycon hilarii","Y",NA,NA,26.1095674281743,2.77719747153986
"133","Characidae","Brycon","Brycon orbignyanus","Y",NA,NA,23.5443204979229,2.05572010636155
"134","Cichlidae","Bujurquina","Bujurquina vittata",NA,"Y",NA,26.8951167991249,2.0223492101146
"135","Callichthyidae","Callichthys","Callichthys callichthys",NA,"Y",NA,25.645773654847,2.80590655165329
"136","Callorhinchidae","Callorhinchus","Callorhinchus callorynchus","Y",NA,NA,13.4196364363349,5.58603607710202
"137","Pimelodidae","Calophysus","Calophysus macropterus","Y",NA,NA,26.2318234362244,2.17052626822626
"138","Scaridae","Calotomus","Calotomus carolinus","Y",NA,NA,27.5527909302251,1.90848803686787
"139","Leuciscidae","Campostoma","Campostoma anomalum","Y","Y","Y",17.5036435120755,5.45715876615027
"140","Leuciscidae","Campostoma","Campostoma oligolepis",NA,NA,"Y",17.9720619705974,5.54028799069293
"141","Monacanthidae","Cantherhines","Cantherhines pardalis","Y",NA,NA,27.4909093042528,2.3052438099249
"142","Carangidae","Carangoides","Carangoides chrysophrys","Y",NA,NA,28.0468361759323,2.08459356711123
"143","Carangidae","Carangoides","Carangoides fulvoguttatus","Y",NA,NA,28.0894656340356,2.05034768234938
"144","Carangidae","Carangoides","Carangoides orthogrammus","Y",NA,NA,27.6501670470237,2.0242471684535
"145","Carangidae","Carangoides","Carangoides plagiotaenia","Y",NA,NA,27.9562031358515,1.83506877852083
"146","Carangidae","Caranx","Caranx crysos","Y",NA,NA,25.172604235507,4.08895634432179
"147","Carangidae","Caranx","Caranx hippos","Y",NA,NA,25.3925087869082,4.79069237220594
"148",NA,NA,"Caranx ignobilis",NA,NA,NA,27.7863551246727,0.871113194995753
"149","Carangidae","Caranx","Caranx melampygus","Y",NA,NA,27.7150790652534,2.09519023169264
"150","Carangidae","Caranx","Caranx rhonchus","Y",NA,NA,24.4083895815042,2.51860383248614
"151","Cyprinidae","Carasobarbus","Carasobarbus luteus","Y",NA,NA,27.4502752652857,4.68195929139534
"152","Cyprinidae","Carassius","Carassius auratus","Y","Y","Y",17.8279195781087,6.63984235258068
"153","Cyprinidae","Carassius","Carassius carassius","Y","Y",NA,6.60352338095306,6.88640351876968
"154","Cyprinidae","Carassius","Carassius gibelio","Y",NA,NA,12.6565127465416,4.8698110270224
"155","Carcharhinidae","Carcharhinus","Carcharhinus limbatus","Y",NA,NA,26.7091036276381,3.22494357373325
"156","Carcharhinidae","Carcharhinus","Carcharhinus porosus","Y",NA,NA,26.8699699196006,2.222052770248
"157","Catostomidae","Carpiodes","Carpiodes carpio",NA,"Y","Y",18.607316360152,5.88338249884254
"158","Catostomidae","Carpiodes","Carpiodes cyprinus",NA,"Y","Y",14.9645800271312,6.39708863814571
"159","Catostomidae","Catostomus","Catostomus catostomus","Y","Y","Y",4.30218756308099,5.15599856445421
"160","Catostomidae","Catostomus","Catostomus commersonii","Y","Y","Y",13.5431578407721,5.42131977741725
"161","Catostomidae","Catostomus","Catostomus latipinnis",NA,"Y",NA,16.6998998808039,8.11407586205817
"162","Catostomidae","Catostomus","Catostomus occidentalis",NA,"Y",NA,16.1163207183199,4.48638535579459
"163","Catostomidae","Catostomus","Catostomus platyrhynchus",NA,"Y",NA,11.0428676420031,5.50845653970211
"164","Catostomidae","Catostomus","Catostomus snyderi",NA,"Y",NA,12.5317268062243,2.49047907220034
"165","Malacanthidae","Caulolatilus","Caulolatilus intermedius","Y",NA,NA,27.6429259194692,1.98595868691449
"166","Malacanthidae","Caulolatilus","Caulolatilus princeps","Y",NA,NA,20.9625600029963,7.60317631258237
"167","Centrophoridae","Centrophorus","Centrophorus squamosus","Y",NA,NA,20.6152239757513,6.57180793893039
"168","Centropomidae","Centropomus","Centropomus parallelus","Y",NA,NA,26.8250968484358,2.16503569814202
"169","Centropomidae","Centropomus","Centropomus undecimalis","Y",NA,NA,27.2652750043095,1.83482041091795
"170","Serranidae","Centropristis","Centropristis striata","Y",NA,NA,20.1979372521013,4.66283335088628
"171","Etmopteridae","Centroscyllium","Centroscyllium fabricii","Y",NA,NA,10.7432899606736,8.33788142921327
"172","Somniosidae","Centroscymnus","Centroscymnus coelolepis","Y",NA,NA,18.5739827383562,6.98219994081857
"173","Serranidae","Cephalopholis","Cephalopholis argus","Y",NA,NA,26.9810924862901,2.82877438245799
"174","Serranidae","Cephalopholis","Cephalopholis boenak","Y",NA,NA,27.6940117873561,1.80309640584356
"175","Serranidae","Cephalopholis","Cephalopholis miniata","Y",NA,NA,27.7565656652016,2.1248172199976
"176","Serranidae","Cephalopholis","Cephalopholis sonnerati","Y",NA,NA,27.6354190048571,2.10988064466277
"177","Serranidae","Cephalopholis","Cephalopholis taeniops","Y",NA,NA,25.8836845510617,1.97229900767185
"178","Channichthyidae","Chaenocephalus","Chaenocephalus aceratus","Y","Y",NA,1.29005756214428,3.50046366497788
"179","Channichthyidae","Champsocephalus","Champsocephalus gunnari","Y",NA,NA,1.97516858380707,1.53123027706878
"180","Chandidae","Chanda","Chanda nama","Y",NA,NA,25.8423398105405,4.15893077870231
"181","Channidae","Channa","Channa marulius","Y",NA,NA,23.0629866293569,8.25239061926857
"182","Channidae","Channa","Channa micropeltes","Y",NA,NA,27.2704247607887,1.54742866835466
"183","Channidae","Channa","Channa punctata","Y","Y",NA,24.8708877980901,7.89847874335648
"184","Channidae","Channa","Channa striata","Y",NA,NA,26.0064382924953,5.51755637095146
"185","Chanidae","Chanos","Chanos chanos","Y","Y",NA,26.3899118666921,4.21477060702348
"186","Catostomidae","Chasmistes","Chasmistes brevirostris",NA,"Y",NA,13.0753548637115,2.37308648031275
"187","Catostomidae","Chasmistes","Chasmistes liorus",NA,"Y",NA,13.0228290147556,6.92663499758613
"188","Labridae","Cheilinus","Cheilinus fasciatus","Y",NA,NA,27.867525916227,1.71706272467501
"189","Labridae","Cheilinus","Cheilinus trilobatus","Y",NA,NA,27.7972512189133,1.64407493932341
"190","Cheilodactylidae","Cheilodactylus","Cheilodactylus variegatus","Y",NA,NA,16.0626509112807,1.11088778011217
"191","Cheimarrhichthyidae","Cheimarrichthys","Cheimarrichthys fosteri",NA,"Y",NA,13.6539178299254,3.22273628951788
"192","Cyprinidae","Chela","Chela cachius","Y",NA,NA,26.1133118304741,4.90530999747658
"193",NA,NA,"Chelidonichthys cuculus",NA,NA,NA,19.7886225177788,2.73629945972004
"194","Triglidae","Chelidonichthys","Chelidonichthys kumu","Y",NA,NA,21.6346036737252,4.77874138379809
"195","Triglidae","Chelidonichthys","Chelidonichthys lastoviza","Y",NA,NA,19.0523644386105,3.0804095274852
"196","Triglidae","Chelidonichthys","Chelidonichthys lucerna","Y",NA,NA,16.7074928379198,3.62093960745627
"197","Triglidae","Chelidonichthys","Chelidonichthys obscurus","Y",NA,NA,20.394917304786,1.52259111319621
"198","Serranidae","Chelidoperca","Chelidoperca investigatoris","Y",NA,NA,26.980763664937,0.879262591737674
"199","Chaetodontidae","Chelmon","Chelmon rostratus",NA,"Y",NA,27.6972061078059,1.91409034052041
"200","Mugilidae","Chelon","Chelon auratus","Y",NA,NA,17.6278556346935,7.3437986638794
"201","Mugilidae","Chelon","Chelon labrosus","Y",NA,NA,16.9362834698224,7.63682374789523
"202","Mugilidae","Chelon","Chelon parsia","Y",NA,NA,28.3338427549357,1.97911847882974
"203","Mugilidae","Chelon","Chelon ramada","Y",NA,NA,18.376627441795,6.02480190411097
"204","Mugilidae","Chelon","Chelon saliens","Y",NA,NA,22.592013633171,3.99712277600515
"205",NA,"Chelonodon","Chelonodon patoca","Y",NA,NA,28.0502090900678,1.93383456219196
"206","Chirocentridae","Chirocentrus","Chirocentrus dorab","Y",NA,NA,28.0606781864375,2.7030339179192
"207","Notopteridae","Chitala","Chitala chitala","Y",NA,NA,27.4083259769783,3.57468966376193
"208","Chlorophthalmidae","Chlorophthalmus","Chlorophthalmus agassizi","Y",NA,NA,26.9146847617464,2.78652168213048
"209","Chlorophthalmidae","Chlorophthalmus","Chlorophthalmus corniger","Y",NA,NA,28.4072886446912,1.81053571774692
"210","Scaridae","Chlorurus","Chlorurus sordidus","Y",NA,NA,28.3671484530177,2.30143976336562
"211","Leuciscidae","Chondrostoma","Chondrostoma nasus","Y",NA,NA,13.9993289964587,3.97319591227603
"212","Leuciscidae","Chrosomus","Chrosomus erythrogaster",NA,"Y","Y",17.1088806756645,4.36887864049329
"213","Cyprinidae","Cirrhinus","Cirrhinus cirrhosus","Y",NA,NA,26.0595115574048,2.087487272194
"214","Cyprinidae","Cirrhinus","Cirrhinus molitorella","Y",NA,NA,25.4238722083962,3.17214849542244
"215","Cyprinidae","Cirrhinus","Cirrhinus mrigala","Y","Y",NA,26.4088039196336,5.75734420644627
"216","Cyprinidae","Cirrhinus","Cirrhinus reba","Y",NA,NA,27.0228091934372,3.17320989206318
"217","Clariidae","Clarias","Clarias batrachus","Y",NA,NA,27.3249493018983,1.03373689448834
"218","Clariidae","Clarias","Clarias gariepinus","Y","Y",NA,25.3277649159468,3.47226827893097
"219","Clariidae","Clarias","Clarias macrocephalus","Y",NA,NA,27.6779014202791,1.60934889977962
"220","Leuciscidae","Clinostomus","Clinostomus elongatus",NA,"Y","Y",13.961639160977,4.03918717182467
"221","Clupeidae","Clupea","Clupea harengus","Y","Y",NA,7.41784752595112,5.8491893616902
"222","Clupeidae","Clupea","Clupea harengus","Y","Y",NA,7.41784752595112,5.8491893616902
"223","Clupeidae","Clupea","Clupea pallasii","Y","Y",NA,12.2765892780213,2.88652758317034
"224","Clupeidae","Clupeoides","Clupeoides borneensis","Y",NA,NA,27.706180802373,1.26086830772267
"225","Clupeidae","Clupeonella","Clupeonella cultriventris","Y",NA,NA,18.222464290272,4.77407078338263
"226","Poeciliidae","Cnesterodon","Cnesterodon decemmaculatus",NA,"Y",NA,22.0929094482112,4.10711099259316
"227",NA,"Coelorinchus","Coelorinchus fasciatus","Y",NA,NA,12.5772268570594,2.79411059791854
"228","Engraulidae","Coilia","Coilia mystus","Y",NA,NA,23.626742784089,3.61328931600117
"229","Sciaenidae","Collichthys","Collichthys lucidus","Y",NA,NA,23.6932264558631,3.78086542349251
"230","Characidae","Colossoma","Colossoma macropomum","Y",NA,NA,25.8915365173438,2.6185186886278
"231","Congridae","Conger","Conger conger","Y",NA,NA,17.9028437262251,3.37341998037032
"232","Congiopodidae","Congiopodus","Congiopodus peruvianus","Y",NA,NA,15.4837234123717,2.63475121446173
"233",NA,NA,"Congresox talabon",NA,NA,NA,27.2553441733286,2.2378127334004
"234","Muraenesocidae","Congresox","Congresox talabonoides",NA,"Y",NA,28.5309569448077,2.13470491511496
"235",NA,NA,"Coptodon rendalli",NA,NA,NA,24.5133415570688,2.73436695078724
"236",NA,"Coptodon","Coptodon zillii","Y",NA,NA,26.3949266131003,3.19605576755171
"237","Salmonidae","Coregonus","Coregonus albula","Y",NA,NA,3.33866923293981,4.47505330946026
"238","Salmonidae","Coregonus","Coregonus artedi","Y","Y","Y",4.35245994993338,5.26108280120329
"239","Salmonidae","Coregonus","Coregonus autumnalis","Y",NA,NA,1.96271773503818,2.94445172572308
"240","Salmonidae","Coregonus","Coregonus clupeaformis","Y","Y","Y",4.48781608547828,5.27692459069039
"241","Salmonidae","Coregonus","Coregonus hoyi",NA,"Y","Y",12.7551680052938,3.99362082175936
"242","Salmonidae","Coregonus","Coregonus kiyi",NA,NA,"Y",13.6013301448455,4.19882947664646
"243","Salmonidae","Coregonus","Coregonus lavaretus","Y",NA,NA,17.4688393210794,NA
"244","Salmonidae","Coregonus","Coregonus macrophthalmus","Y",NA,NA,15.026700570809,7.45093102608383
"245","Salmonidae","Coregonus","Coregonus maraenoides",NA,"Y",NA,13.9824801590075,3.33417695929446
"246","Salmonidae","Coregonus","Coregonus nasus","Y","Y",NA,1.98974492744255,3.18689641546587
"247","Salmonidae","Coregonus","Coregonus nilssoni",NA,"Y",NA,8.54948964750707,5.57517041174229
"248","Salmonidae","Coregonus","Coregonus peled",NA,"Y",NA,2.44264984829336,3.98618827888258
"249","Salmonidae","Coregonus","Coregonus reighardi",NA,NA,"Y",14.1618558323319,2.16061622021204
"250","Salmonidae","Coregonus","Coregonus widegreni",NA,"Y",NA,9.26057755373984,5.16528546049147
"251","Salmonidae","Coregonus","Coregonus zenithicus",NA,NA,"Y",7.28543394134039,5.71894852367951
"252","Clupeidae","Corica","Corica soborna","Y",NA,NA,27.9898974332578,1.48700761740564
"253","Labridae","Coris","Coris formosa","Y",NA,NA,27.9241027281775,2.12709301822604
"254","Callichthyidae","Corydoras","Corydoras ehrhardti",NA,"Y",NA,20.5278863604116,1.58956868701344
"255","Callichthyidae","Corydoras","Corydoras paleatus",NA,"Y",NA,22.0560222160667,3.38897336826655
"256","Coryphaenidae","Coryphaena","Coryphaena hippurus","Y",NA,NA,25.7750655227227,3.02410043736752
"257","Macrouridae","Coryphaenoides","Coryphaenoides rupestris","Y",NA,NA,13.9013473503451,4.14555896911734
"258","Blenniidae","Coryphoblennius","Coryphoblennius galerita",NA,"Y",NA,21.2542635035649,3.84838303220705
"259","Syngnathidae","Corythoichthys","Corythoichthys intestinalis",NA,"Y",NA,27.7898888085429,1.74620365576948
"260","Bovichthyidae","Cottoperca","Cottoperca gobio","Y",NA,NA,13.0038947389605,1.88006473881902
"261","Psychrolutidae","Cottunculus","Cottunculus granulosus","Y",NA,NA,11.435056459814,4.47762522489363
"262","Cottidae","Cottus","Cottus bairdii",NA,"Y","Y",8.53191547248586,7.12948852730036
"263","Cottidae","Cottus","Cottus carolinae",NA,"Y",NA,20.2502902922755,2.9228929376742
"264","Cottidae","Cottus","Cottus cognatus","Y","Y","Y",1.79338387213458,1.70521171417105
"265","Cottidae","Cottus","Cottus gobio",NA,"Y",NA,13.8016330182479,4.99710392528927
"266","Cottidae","Cottus","Cottus hypselurus",NA,"Y",NA,21.2702603304581,1.76181149429675
"267","Cottidae","Cottus","Cottus paulus",NA,"Y",NA,21.9352073500484,1.248348498575
"268","Cottidae","Cottus","Cottus tallapoosae",NA,"Y",NA,22.1041369693183,1.95430925187441
